id;name;geoid;geoname;value;datetime
600;Precio mercado SPOT Diario;3;España;89.66;2021-06-02T00:00:00+02:00
600;Precio mercado SPOT Diario;3;España;87;2021-06-02T01:00:00+02:00
600;Precio mercado SPOT Diario;3;España;85;2021-06-02T02:00:00+02:00
600;Precio mercado SPOT Diario;3;España;85;2021-06-02T03:00:00+02:00
600;Precio mercado SPOT Diario;3;España;84.17;2021-06-02T04:00:00+02:00
600;Precio mercado SPOT Diario;3;España;85.02;2021-06-02T05:00:00+02:00
600;Precio mercado SPOT Diario;3;España;88.57;2021-06-02T06:00:00+02:00
600;Precio mercado SPOT Diario;3;España;91.14;2021-06-02T07:00:00+02:00
600;Precio mercado SPOT Diario;3;España;92.76;2021-06-02T08:00:00+02:00
600;Precio mercado SPOT Diario;3;España;90.07;2021-06-02T09:00:00+02:00
600;Precio mercado SPOT Diario;3;España;88.57;2021-06-02T10:00:00+02:00
600;Precio mercado SPOT Diario;3;España;85.21;2021-06-02T11:00:00+02:00
600;Precio mercado SPOT Diario;3;España;84.1;2021-06-02T12:00:00+02:00
600;Precio mercado SPOT Diario;3;España;83.51;2021-06-02T13:00:00+02:00
600;Precio mercado SPOT Diario;3;España;80;2021-06-02T14:00:00+02:00
600;Precio mercado SPOT Diario;3;España;78.01;2021-06-02T15:00:00+02:00
600;Precio mercado SPOT Diario;3;España;74.36;2021-06-02T16:00:00+02:00
600;Precio mercado SPOT Diario;3;España;78.5;2021-06-02T17:00:00+02:00
600;Precio mercado SPOT Diario;3;España;79.18;2021-06-02T18:00:00+02:00
600;Precio mercado SPOT Diario;3;España;83.34;2021-06-02T19:00:00+02:00
600;Precio mercado SPOT Diario;3;España;84.17;2021-06-02T20:00:00+02:00
600;Precio mercado SPOT Diario;3;España;89.03;2021-06-02T21:00:00+02:00
600;Precio mercado SPOT Diario;3;España;86.7;2021-06-02T22:00:00+02:00
600;Precio mercado SPOT Diario;3;España;83.22;2021-06-02T23:00:00+02:00
